Pais,Celular,PC,Ingreso
Alemania,79,48,27610
Arabia Saudita,32,14,13230
Argentina,18,8,11410
Australia,72,60,28780
Bélgica,79,32,28920
Brasil,26,7,7510
Bulgaria,47,5,75
Canadá,42,49,30040
China,21,3,4980
Colombia,14,5,6410
Ecuador,19,3,3940
Egipto,8,3,3940
España,92,20,22150
Estados Unidos,55,41,37750
Francia,70,35,27640
Grecia,90,8,19900
Guatemala,13,1,4090
Hungría,77,11,13840
India,2,1,2880
Indonesia,9,1,3210
Italia,102,23,26830
Japón,68,38,28450
México,29,8,8980
Países Bajos,77,47,28560
Pakistán,2,0,2040
Polonia,45,14,11210
Reino Unido,91,41,27690
República Checa,96,18,15600
Rusia,25,9,8950
Sudáfrica,36,7,10130
Suecia,98,62,26710
Suiza,84,71,32220
Tailandia,39,4,7450
Venezuela,27,6,4750
